Product,Plant,ORDER_KEY,SOLD_TO_PARTY
product_102582,plant_315,order_339510,customer_5831
product_887084,plant_151,order_4200,customer_354
product_318390,plant_383,order_340717,customer_57283
product_1819928,plant_135,order_531689,customer_1023
product_735049,plant_419,order_243098,customer_137
product_373106,plant_644,order_349132,customer_511
product_789542,plant_70,order_310465,customer_4358
product_1304322,plant_547,order_552237,customer_250
product_355242,plant_201,order_344901,customer_1124
product_1242433,,order_231462,customer_15293
product_481350,plant_648,order_437267,customer_1065
product_386607,plant_601,order_207907,customer_4757
product_1960431,plant_601,order_530238,customer_2149
product_1920476,plant_383,order_331342,customer_245452
product_556490,plant_135,order_311579,customer_1023
product_1824961,plant_72,order_55242,customer_912
product_1339543,plant_601,order_305403,customer_201
product_1903157,plant_345,order_511051,customer_17381
product_433458,plant_575,order_178670,customer_877
product_491876,plant_35,order_83323,customer_8120
product_1459480,,order_72149,customer_1360
product_1466063,plant_255,order_51361,customer_6878
product_229245,plant_312,order_434590,customer_1974
product_946150,,order_160992,customer_195
product_830563,plant_383,order_113668,customer_328
product_1163723,plant_469,order_8913,customer_1380
product_229814,plant_667,order_776,customer_11
product_1773281,plant_70,order_490984,customer_8183
product_343433,plant_203,order_225252,customer_14262
product_1849575,plant_517,order_81239,customer_616
product_2011956,plant_660,order_53824,customer_256
product_1896152,plant_136,order_391010,customer_1265
product_1512551,plant_316,order_479862,customer_9575
product_1809529,plant_383,order_327477,customer_15
product_1952282,plant_136,order_413245,customer_393
product_1419000,plant_488,order_306783,customer_26
product_674107,plant_313,order_202650,customer_20326
product_1646580,plant_316,order_134244,customer_1984
product_780050,plant_419,order_2419,customer_137
product_958837,plant_440,order_530978,customer_643
product_1584663,plant_471,order_38155,customer_1120
product_1117582,plant_466,order_429224,customer_26197
product_736567,plant_432,order_105950,customer_980
product_1133263,plant_355,order_348992,customer_3176
product_744036,plant_136,order_65311,customer_8075
product_1279930,plant_136,order_346092,customer_306
product_1657004,plant_151,order_29858,customer_7070
product_217793,plant_316,order_514727,customer_63266
product_147723,plant_547,order_460476,customer_377
product_807871,plant_316,order_270089,customer_25648
product_586302,plant_151,order_146691,customer_2276
product_763707,plant_139,order_177512,customer_20260
product_442827,plant_316,order_310700,customer_6379
product_1001873,plant_151,order_79000,customer_106
product_1850865,plant_312,order_234535,customer_2972
product_1102912,plant_35,order_356164,customer_8120
product_1461037,,order_108980,customer_65
product_1734752,plant_72,order_178529,customer_1317
product_1342124,plant_316,order_320167,customer_4334
product_1188873,plant_383,order_118434,customer_1811
product_75303,plant_615,order_534606,customer_1057
product_1964561,plant_316,order_203000,customer_4747
product_29196,,order_367785,customer_976
product_1057234,plant_432,order_182327,customer_760
product_164860,plant_440,order_388704,customer_20547
product_1472696,plant_601,order_345218,customer_30165
product_560166,plant_136,order_23209,customer_1475
product_443691,plant_72,order_531442,customer_8609
product_1475016,,order_456907,customer_1225
product_1428322,plant_316,order_344240,customer_1182
product_1363503,plant_316,order_47059,customer_1026
product_959016,plant_635,order_371421,customer_10047
product_1734752,plant_24,order_423740,customer_9577
product_375557,plant_557,order_38870,customer_5103
product_482034,plant_488,order_492490,customer_4972
product_551166,plant_135,order_83708,customer_4125
product_779858,plant_306,order_550121,customer_2277
product_39931,plant_209,order_198903,customer_2265
product_1679934,plant_419,order_355701,customer_2124
product_1834721,plant_430,order_424486,customer_801
product_482209,plant_440,order_54744,customer_1819
product_1689979,plant_565,order_74508,customer_3307
product_215071,plant_136,order_321723,customer_355
product_707790,plant_519,order_387250,customer_149927
product_1955049,plant_648,order_503129,customer_274
product_1296043,plant_151,order_543164,customer_438
product_1875452,,order_246449,customer_3743
product_1716273,plant_209,order_461819,customer_440
product_329268,plant_601,order_528593,customer_5308
product_290841,plant_146,order_488845,customer_1337
product_856416,plant_273,order_277715,customer_15874
product_545737,,order_42489,customer_2031
product_1416385,plant_146,order_99894,customer_2935
product_480815,plant_151,order_414304,customer_11716
product_25167,plant_316,order_272911,customer_5051
product_938076,plant_557,order_228244,customer_727
product_1819408,plant_601,order_5488,customer_4052
product_760783,plant_601,order_58217,customer_66896
